word,phonetic,translation
penstemon,"pen'sti:mәn, 'pensti-","n. [植]釣鍾柳, 元參屬植物"
pent,pent,"a. 被關禁的, 被關起來的\nn. 單斜頂棚"
pentagon,'pentәgәn,"n. 五角形, 五邊形\n[經] 五角平台"
pentagonal,pen'tægәnl,"a. 五角的, 五邊形的"
pentagram,'pentә^ræm,n. 五角星形
pentameter,pen'tæmitә,n. 五步格詩\na. 有五音步的
Pentateuch,'pentәtju:k,n. >
pentathlon,pen'tæθlәn,n. 五項全能運動
pentatonic,.pentә'tɒnik,a. 五聲(音階)的
Pentecostal,.penti'kɒ:stl,"a. 五旬節的, 五旬節派教會的"
Pentecostalism,",pentə'kɔ:stə,lizəm",n. 五旬節派；靈恩派；聖神同禱派；神恩復興派
penthouse,'penthaus,"n. 屋頂房間, 頂層公寓, 電梯機器房, 耳房"
penultimate,pi'nʌltimit,a. 倒數第二的
penumbra,pi'nʌmbrә,"n. 半影, 明暗交界部分, 邊緣部分, 周圍的氣氛\n[化] 半影"
penumbral,pi'nʌmbrәl,"a. 日月半影的, 界限不明的"
penurious,pi'njuәriәs,"a. 赤貧的, 缺乏的, 吝嗇的"
penury,'penjuri,"n. 貧困, 貧窮, 拮据, 饋乏\n[法] 赤貧, 缺乏"
peon,'pi:әn,"n. 勞工, 短工, 馬夫, 勞役犯, (土著)警察, 勤雜工\n[法] 被強制執行勞役以抵償罰金的人"
peonage,'pi:әnidʒ,"n. 當勞役償債, 服勞役(法)\n[法] 勞役償債, 僱用日工, 做日工"
peony,'pi:әni,"n. 牡丹(花), 芍藥(花)"
people,'pi:pl,"n. 人, 人民, 民族, 平民\nvt. 使住滿人, 居住於"
peoplehood,'pi:plhjd,"n. 民族性,民族意識"
peopling,,"vt. 居住於, 布滿（people的現在分詞形式）"
pep,pep,"n. 活力, 氣力, 勁頭, 銳氣\nvt. 鼓起精神, 激勵, 使充滿活力"
pepper,'pepә,"n. 胡椒粉, 胡椒, 辣椒\n[化] 胡椒; 辣椒; 花椒"
peppercorn,'pepәkɔ:n,"n. 空有其名的租金, 微不足道的答禮, 空有其名的答禮"
peppered,,"a. 用胡椒調味的；加胡椒的, 撒胡椒粉的"
peppermint,'pepәmint,"n. 薄荷, 薄荷油, 胡椒薄荷, 薄荷糖\n[化] 薄荷"
pepperoni,ˌpepəˈrəʊni,n. 意大利辣香腸
peppery,'pepәri,"a. 胡椒的, 辛辣的, 很辣的, 急躁的, 易怒的"
peppy,'pepi,"a. 精神充沛的, 活潑的, 起動快的"
peptic,'peptik,"a. 有助消化的, 胃液素的, 胃蛋白酶的\nn. 健胃劑, 促進消化物質"
peptide,'peptaid,"n. 肽, 縮氨酸\n[化] 肽; 縮氨酸"
per,pә:,"prep. 每一, 通過, 經, 按照\n[經] 每, 按照"
perambulation,pә.ræmbju'leiʃәn,"n. 徘徊, 巡迴, 勘查"
percale,pә'keil,"n. 高級密織棉布, 細棉布"
perceivable,pә'si:vәbl,"a. 可知覺的, 可認識的, 可理解的"
perceive,pә'si:v,"vt. 感覺, 認知, 理解, 意識到"
perceived,pə'siːvd,v. 感覺( perceive的過去式和過去分詞 ); 視為; 認為; 理解為
perceiver,,n. perceive的變形
perceiving,,n. 感知；熟思型
percentage,pә'sentidʒ,"n. 百分比, 比率, 部分, 可能性\n[計] 百分比"
percentile,pә'sentail,"[醫] 百分率的\n[經] 百分之一, 按百等分排列的"
percept,'pә:sept,"n. 感知, 認識, 知覺對象\n[醫] 知覺對象"
perceptible,pә'septibl,"a. 可察覺的, 能感覺得到的, 看得見的"
perceptibly,pә'septibli,"adv. 可知覺, 看得見, 顯然地"
perception,pә'sepʃәn,"n. 知覺, 感覺, 領悟力, 獲取\n[醫] 知覺"
perceptive,pә'septiv,"a. 知覺的, 有知覺力的, 感知的\n[醫] 知覺的"
perceptively,pə'septivli,"adv. 洞察力強地, 敏銳地"
perceptiveness,,"n. 洞察力, 直覺, 理解力"
perceptual,pә'septʃuәl,"a. 知覺的, 有知覺的"
perch,pә:tʃ,"n. 棲木, 高位, 桿, 河鱸\nv. (使)棲息, 就位, 位於, (使)暫歇"
perchance,pә'tʃɑ:ns,"adv. 偶然, 恐怕, 間或"
perched,pɜ:tʃt," 棲息; 使坐; 置於（perch的變形詞）"
perchlorate,pә'klɔ:reit,[化] 高氯酸鹽\n[醫] 高氯酸鹽
percolate,'pә:kәleit,"vt.vi. 濾, 濾過, 滲開, (使)滲透, (使)滲濾\nn. 濾過液, 滲出液\nvt. 用滲濾壺煮(咖啡)"
percolation,.pә:kә'leiʃәn,"n. 過濾, 浸透\n[計] 滲透"
percolator,'pә:kәleitә,"n. 滲濾器, 咖啡滲濾壺\n[化] 滲濾器"
percussion,pә:'kʌʃәn,"n. 敲打, 碰撞, 叩擊, 叩診, 擊發, 打擊, 打擊樂器組\n[醫] 叩診"
percussionist,pә'kʌʃәnist,"n. 敲擊樂器演奏者, 敲奏打擊樂器的人"
percussive,pә'kʌsiv,"a. 敲擊的, 有強大衝擊力的, 令人震驚的, 叩診的"
percutaneous,",pә:kju(:)'teiniәs, -njәs","a. 經皮的, 由皮的\n[醫] 經皮的"
perdition,pә'diʃәn,"n. (惡人的)惡報, 永劫, 浩劫, 破滅, 貶落地獄"
peregrination,.perigri'neiʃәn,"n. 徒步旅行, 旅程, 人生歷程, 漫談, 泛論"
peregrine,'peri^rin,"a. 流浪的, 移居的, 漫遊的, 外國的, 異樣的, 異國風味的, 外來的\nn. 寄居外國的人"
peremptorily,pә'remptәrili,"adv. 斷然地, 不容置疑地, 緊急地, 獨斷地, 蠻橫地"
peremptory,pә'remptәri,"a. 斷然的, 儼然的, 強制的, 不容置疑的, 急迫的\n[法] 絕對的, 最後決定的, 斷然的"
perennial,pә'reniәl,"a. 常年的, 長期的, 反覆的\n[醫] 多年生的"
perennially,,adv. 永久地
perestroika,ˌperəs'trɔɪkə,n. （蘇聯經濟與政治體制的）改革; 調整; 政治經濟重建的
perfect,'pә:fikt,"n. 完成時\na. 完美的, 完好的, 理想的, 熟練的, 精確的, 完成式的\nvt. 使完美, 修改, 使精通, 改善, 使熟練"
perfecta,pә'fektә,n. (賽馬或跑狗中的)正序連贏
perfected,,"v. 使…完美, 使…熟練（perfect的過去形式）"
perfectibility,pә.fekti'biliti,"n. 可完美性, 可改善性"
perfecting,,"n. 完成, 精製, 完善, 改善"
perfection,pә'fekʃәn,"n. 完美, 完成, 極端\n[經] 完整性"
perfectionism,pә'fekʃәniz(ә)m,"n. 至善論, 過度追求盡善盡美, 圓滿論\n[醫] 至善主義"
perfectionist,pә'fekʃәnist,"n. 至善論者, 過分挑剔者, 追求盡善盡美者, 圓滿論者"
perfectionistic,,a. perfectionism（至善論；圓滿論）的變形
perfective,pә'fektiv,"a. 完成的, 完成時的\nn. 完成時"
perfectly,'pә:fiktli,"adv. 完全地, 無瑕疵地, 完整地"
perfidious,pә'fidiәs,"a. 不忠貞的, 背信的, 有異心的"
perfidy,'pә:fidi,"n. 不誠實, 背信棄義(行為)\n[法] 叛變, 出賣, 背信棄義"
perforate,'pә:fәreit,"vt. 穿孔於, 刺穿, 打孔穿透\nvi. 穿孔, 穿過\na. 有孔的, 穿孔的"
perforated,'pɜ:fəreɪtɪd,"v. 穿孔於, 在…上打眼( perforate的過去式和過去分詞 ); （在紙張等上）打齒孔[孔眼線]"
perforation,.pә:fә'reiʃәn,"n. 穿孔, 孔眼, 貫穿, 貫通\n[化] 穿透"
perforce,pә'fɒ:s,"adv. 必然地, 只得"
perform,pә'fɒ:m,"vt. 進行, 履行, 完成, 執行, 表演\nvi. 行動, 工作, 執行, 演出"
performance,pә'fɒ:mәns,"n. 施行, 工作情況, 成績, 行為, 表現, 演出\n[電] 績效, 性能"
performative,pә'fɔ:mәtiv,"a. [語][哲](表)述行(為)的 \nn. [語]述行語,述行成分"
performativity,,表演性
performer,pә'fɒ:mә,"n. 表演者, 執行者, 完成者\n[法] 執行者, 履行者, 實行者"
performing,pә'fɒ:miŋ,"a. 表演的, 履行的"
perfume,'pә:fju:m,"n. 香水, 香氣, (悅人的)氣氛, 美名\nvt. 灑香水於, 薰香, 使充滿香氣"
perfumed,pә'fju:md,a. 芳香的；香味的
perfumer,pә'fju:mә,"n. 香料製造人, 香水調配者, 香料商, 香水噴霧器"
perfumery,pә'fju:mәri,"n. 香料類, 香水(總稱), 香料製造業"
perfunctorily,pә'fʌŋktәrili,"adv. 敷衍地, 馬虎地, 潦草地, 表面地"
perfunctory,pә'fʌŋktәri,"a. 敷衍的, 隨隨便便的, 得過且過的"
perfuse,pә'fju:z,"vt. 灑遍, 撒滿, 散布, 灌注\n[醫] 灌注"
perfusion,pә:'fju:ʒәn,"n. 灌注, 充滿\n[醫] 灌注"
pergola,'pә:gәlә,"n. 涼亭, 藤架, 綠廊"
perhaps,pә'hæps,"adv. 也許, 大概"
peri,'piәri,"n. 美麗仙女, 窈窕淑女\n[化] 近; 近位; 迫; 迫位; 周; 周位"
perianth,'periænθ,n. 花被\n[醫] 花被
pericardial,",peri'kɑ:diәl","a. 心包的, 位於心臟周圍的\n[醫] 心包的"
pericardium,",peri'kɑ:djәm",n. 心包\n[醫] 心包
perigee,'peridʒi:,n. 近地點
perihelion,.peri'hi:liәn,"n. 近日點, 最高點, 頂點"
peril,'peril,"n. 危險, 冒...之險, 險境, 險因\nvt. 置...於險境, 冒險, 危及"
perilous,'perilәs,"a. 危險的, 瀕臨毀滅的"
perilously,ˈperɪləslɪ,"adv. 充滿危險地, 危機四伏地"
perilymph,"'peri,limf",[醫] 外淋巴
perimeter,pә'rimitә,"n. 周長, 周界, 邊緣\n[醫] 周, 周邊, 周界線; 周長; 視野計"
perinatal,",peri'neitl",[醫] 產期的
perineal,.peri'ni:әl,a. 會陰的\n[醫] 會陰的
perineum,.peri'ni:әm,n. 會陰(部)\n[醫] 會陰
period,'piәriәd,"n. 時期, 節段, 節, 句點, 學時, 周期\na. 當時特有的, 過去某段時期的\ninterj. 就是這話, 就是這麼回事"
periodic,.piәri'ɒdik,"a. 周期的, 定期的, 間歇(性)的, 循環的, 用完整句的, 高碘的\n[醫] 周期性的"
periodical,.piәri'ɒdikl,"n. 期刊\na. 定期出版的, (有關)期刊的, 間歇(性的), 周期的, 定期的"
periodically,",piәri'ɔdikəli","adv. 定期, 循環, 間歇, 周期, 定期刊行, 期刊"
periodicity,.piәriә'disәti,"n. 定期性, 周期性, 頻率, 周波\n[化] 周期性"
periodization,",piәriәdai'zeiʃən;-di'z-",[計] 周期化
periodontal,.periәu'dɒntәl,"a. 牙齒周圍的, 齒根膜的, 牙周病學的\n[醫] 牙周的, 牙周膜的"
periodontist,,[醫] 牙周病學家
periodontitis,,[醫] 牙周炎
perioperative,pɪə'raɪɒpərətɪv,a. [醫]手術期間的
periosteum,.peri'ɒstiәm,n. 骨膜\n[醫] 骨膜
peripatetic,.peripә'tetik,"a. 徒步的, 漫遊的\nn. 走來走去的人, 遊歷"
peripheral,pә'rifәrәl,"a. 周邊的, 周圍的, 圓周的, 無關緊要的, 膚淺的\n[醫] 外周的, 周圍的, 末梢的"
peripherally,pə'rɪfərəlɪ,"adv. 外圍地, 外面地"
periphery,pә'rifәri,"n. 外圍, 邊緣地區, 圓周\n[醫] 外周, 周圍"
periphyton,pә'rifitɔn,"n. [生]固着生物, 水生附着生物"
periscope,'periskәup,n. 潛望鏡(鏡頭)\n[化] 潛望鏡
perish,'periʃ,"vi. 毀滅, 喪生, 凋謝, 頹喪, 死亡, 腐爛\nvt. 毀壞, 使麻木, 使喪生, 耗盡"
perishable,'periʃәbl,"a. 易腐壞的, 會枯萎的, 易毀滅的, 不經久的\nn. 易腐壞的東西"
peristaltic,.peri'stæltik,"a. 蠕動的, 蠕動引起的\n[醫] 蠕動的"
peristyle,'peristail,"n. 周柱列, 周柱廊, 周柱中庭"
peritoneal,.peritәu'ni:әl,a. 腹膜的\n[醫] 腹膜的
peritoneum,",peritәu'ni:әm",n. 腹膜\n[醫] 腹膜
peritonitis,.peritә'naitis,n. 腹膜炎\n[醫] 腹膜炎
peritonsillar,,[醫] 扁桃體周的
periwinkle,'periwiŋkl,"n. 小長春花, 長春花, 玉黍螺"
perjure,'pә:dʒә,"vt. 使發偽誓, 使作偽證, 使破壞誓言\n[法] 作偽證, 發假誓"
perjured,'pә:dʒәd,"a. 作偽證的, 發假誓的\n[法] 作了偽證的, 發了假誓的, 犯了偽證罪的"
perjurer,'pә:dʒәrә,"n. 偽誓者, 偽證者\n[法] 犯偽證罪者, 發假誓的, 作偽證者"
perjurious,'pә'dʒjәriәs,"a. 發假誓的, 作偽證的\n[法] 偽證的, 假證的, 偽證罪的"
perjury,'pә:dʒәri,"n. 偽誓, 偽證, 背信棄義\n[經] 偽證, 假的證據"
perk,pә:k,"vi. 昂首, 振作, 舉止高傲, 神氣活現, 濾煮\nvt. 豎起, 打扮, 使振作, 濾煮\nn. 小費"
perkily,,adv. perky的變形
perkiness,'pə:kinis,n. 得意洋洋；精力充沛；因自信而流露的喜悅
perky,'pә:ki,"a. 得意洋洋的, 快活的, 敏捷的, 美觀的, 傲慢的, 神氣的"
perlite,'pә:lait,n. [地]珍珠岩
perm,pә:m,"vt. 電燙(發), 化學燙(發)\nn. 電燙的頭髮, 捲髮, 化學燙的頭髮"
permaculture,pɜ:mæklt'jʊə," 永久培養"
permafrost,'pә:mәfrɔ(:)st,n. [地]永久凍結帶
permanence,'pә:mәnәns,"n. 永久, 持久, 固定性\n[法] 永久性, 持久性"
permanency,'pә:mәnәnsi,n. 永久的職位\n[法] 長久不變
permanent,'pә:mәnәnt,"a. 永久的, 不變的, 固定的, 持久的\nn. 燙髮\n[計] 永久的"
permanently,'p\\\\:mәntli,"adv. 永久, 不變, 持久\n[計] 永久性的"
permeability,.pә:miә'biliti,"n. 滲透性, 可透性, 磁導率\n[化] 滲透性; 滲透率"
permeable,'pә:miәbl,"a. 有滲透性的, 能透過的\n[化] 滲透性的; 可滲透的"
permeate,'pә:mieit,"vt. 瀰漫, 滲透, 充滿, 影響, 感染\nvi. 透入, 散布"
permeation,.pә:mi'eiʃәn,"n. 散發(性), 滲透作用(過程), 浸染\n[醫] 滲透, 透過"
permed,,abbr. permanently waved 電燙（發）法的
permissibility,pә.misә'biliti,n. 可容許性
permissible,pә'misәbl,"a. 可允許的, 可容許程度的\n[機] 容許, 允許"
permission,pә'miʃәn,"n. 許可, 允許\n[計] 許可, 認可"
permissive,pә'misiv,"a. 許可的, 獲準的, 寬容的, 放任的, 放縱的, 允許選擇的, 自由的\n[法] 表示許可的, 隨意的, 縱容的"
permissiveness,pə'mɪsɪvnəs,n. 許可
permit,pә'mit,"n. 許可證, 許可, 執照, 通行證\nvt. 允許, 容許, 可能, 使放手做\nvi. 容許, 給以機會, 提供可能"
permitted,pəˈmitid,v. 允許( permit的過去式和過去分詞 ); 許可; 許用
permittee,,"[法] 持證人, 持照人"
permutation,.pә:mju'teiʃәn,"n. 交換, 更動, 排列\n[計] 排列"
pernicious,pә'niʃәs,"a. 有害的, 致命的, 惡劣的, 險惡的\n[醫] 惡性的"
peroneal,",perә'niәl","[醫] 腓骨的, 腓側的"
Peronist,pә'rәjnist,"a. (阿根廷總統)庇隆的,庇隆主義的, 庇隆主義者的"
peroration,.perә'reiʃәn,"n. 結束語, 演講, 夸夸其談"
peroxidase,"pә'rɔksideis, -deiz",[化] 過氧化物酶\n[醫] 過氧化物酶
peroxide,pә'rɔksaid,n. 過氧化物\n[計] 過氧化物
perp,pɚrp,n. 罪犯
perpendicular,.pә:pәn'dikjulә,"n. 垂直線, 垂直的位置, 直立(姿勢), 剛正, 垂規\na. 垂直的, 直立的, 陡峭的"
perpendicularly,ˌpɜ:pən'dɪkjʊləlɪ,"adv. 垂直地, 直立地"
perpetrate,'pә:pitreit,"vt. 做(惡), 犯(罪), 胡說, 惡劣地做\n[法] 犯, 作, 行"
perpetration,.pә:pi'treiʃәn,"n. 做壞事, 犯罪\n[法] 行兇, 作惡, 犯罪"
perpetrator,,"n. 作惡者, 犯罪者, 行兇者\n[法] 作惡者, 行兇者, 犯罪者"
perpetual,pә'petʃuәl,"a. 永久的, 不斷的, 無期限的, 沒完沒了的, 四季開花的\n[經] 永遠的, 終身的, 持續的"
perpetually,,"adv. 永恆地, 持久地"
perpetuate,pә'petjueit,"vt. 使永存, 使不朽, 保持"
perpetuation,pә.petju'eiʃәn,"n. 永存, 不朽"
perpetuity,.pә:pi'tju:iti,"n. 永久, 不朽, 終身職位, 終身任期, 永久使用權\n[經] 永續年金, 終身年金"
perplex,pә'pleks,"vt. 使困惑, 使複雜化, 使為難\n[法] 困惑, 使複雜化, 使糾纏不清"
perplexed,pә'plekst,"a. 困惑的, 不知所措的, 複雜的, 難辦的"
perplexing,pә'pleksiŋ,"a. 令人費解的, 令人困惑的"
perplexity,pә'pleksiti,"n. 困惑, 混亂狀態, 使人困惑的事物"
perquisite,'pә:kwizit,"n. 額外補貼, 特殊待遇, 外快\n[經] 獎金, 小費, 額外補貼"
persecute,'pә:sikju:t,"vt. 迫害, 虐待, 困擾, 同...搗亂\n[法] 迫害, 虐待, 煩擾"
persecuted,ˈpə:sikju:tid,"v. （尤指宗教或政治信仰的）迫害(~sb. for sth.)( persecute的過去式和過去分詞 ); 煩擾, 困擾或騷擾某人"
persecution,.pә:si'kju:ʃәn,"n. 虐待, 迫害運動, 迫害, 煩擾\n[法] 迫害, 虐待, 困擾"
persecutor,'pә:sikju:tә,"n. 迫害者\n[法] 迫害者, 虐待者"
perseverance,pә:si'viәrәns,"n. 毅力, 忍耐, 鍥而不捨, 不屈不撓"
persevere,.pә:si'viә,"vi. 堅持, 孜孜不倦, 不屈不撓, (辯論中)固執己見"
persevering,.pә:si'viәriŋ,"a. 堅忍的, 不屈不撓的, 執拗的, 倔強的"
Persian,'pә:ʃәn,"n. 波斯人, 波斯語"
persimmon,pә'simәn,n. 柿子(樹)\n[醫] 柿
persist,pә'sist,"vi. 堅持, 固執, 持續, 堅稱\n[經] 持續"
persistence,pә'sistәns,"n. 固執, 堅持不懈, 持續(性), 存留(狀態)\n[電] 持久"
persistent,pә'sistәnt,"a. 固執的, 堅持的, 持續的, 作用持久的\n[法] 堅持的, 固執的, 持續的"
persistently,pə'sɪstəntlɪ,adv. 堅持地; 固執地; 一個勁兒
persnickety,pә'snikәti,"a. 愛挑剔的, 吹毛求疵的, 精細的"
person,'pә:sn,"n. 人, 人身, 人稱\n[法] 人, 法人, 人身"
persona,pә:'sәunә,"n. 人, 人物, 角色, 外表印象, 人格面具\n[醫] 偽裝人格"
personable,'pә:snәbl,"a. 風度好的, 討人喜歡的, 具有行為能力的"
personage,'pә:snidʒ,"n. 重要人士, 顯要, 名士, 人物, 角色"
personal,'pә:snl,"a. 私人的, 涉及隱私的, 有人性的, 人稱的, 親自的, 身體的\n[醫] 人的; 個人的, 自身的"
personalism,'pә:sәnlizm,"n. 個性, 個人影響, 人格主義"
personalistic,pəsəʊ'nəlɪstɪk," 人格的"
personality,.pә:sә'næliti,"n. 個性, 人格, (團體、地方、國家)特有特性, 名人\n[醫] 人格; 個性"
personalization,,[醫] 人格化
personalize,'pә:sәnәlaiz,"vt. (貶)使個人化, 體現, 使人格化, 在(物品)上標明姓名/標出地址/標出記號"
personalized,,a. 個人化的；個性化的
personally,'pә:sәnli,"adv. 親自地, 個別地, 當面, 就本人而言, 針對個人地"
personhood,'p\\\\:sәnhjd,"n. 做人,人格"
personification,pә:.sɒnifi'keiʃәn,"n. 擬人, 人格化, 擬人法, 化身, 象徵"
personified,pəˈsɔnəˌfaɪd,v. 將（某事物）人格化、擬人化( personify的過去式和過去分詞 ); 以人的形象表現（思想、品質等）; 象徵; 為某品質或特點的化身（尤指極典型的）
personify,pә'sɒnifai,"vt. 看做人, 賦與人性, 使人格化, 體現, 是...的化身"
personnel,.pә:sә'nel,"n. 人員, 人事部門, 人事科(處)\n[經] 人事, 全體人員, 職工"
perspectival,,"透視法的, 遠近法的"
perspective,pә'spektiv,"n. 遠景, 透視感, (觀察問題的)視角, 透視法, 看法, 透視圖\na. 透視的, 透視法的\n[計] 透視"
perspicacious,.pә:spi'keiʃәs,"a. 聰穎的, 聰明的, 敏銳的, 有洞察力的"
perspicacity,.pә:spi'kæsiti,"n. 聰穎, 聰明, 睿智, 洞察力"
perspiration,.pә:spә'reiʃәn,"n. 汗, 流汗, 努力\n[醫] 出汗; 汗"
perspire,pә'spaiә,"v. 出汗, 流汗, 分泌, 滲出"
perspiring,pəs'paɪərɪŋ,"v. 出汗, 流汗( perspire的現在分詞 )"
persuadable,pә'sweidәbl,"a. 可說服的, 可使相信的"
persuade,pә'sweid,"vt. 勸, 使相信, 懇求, 敦促, 說服\nvi. 勸服, 被說服"
persuader,pә'sweidә,"n. 說服者, 強制工具, 制服手段\n[電] 誘導器"
persuasion,pә'sweiʒәn,"n. 說服, 信念, 派別, 說服力"
persuasive,pә'sweisiv,"a. 有說服力的, 勸誘的, 勸導性的"
persuasively,,adv. 口才好地；令人信服地
persuasiveness,pə'sweɪsɪvnəs," 說服力"
pert,pә:t,"a. 直言的, 唐突的, 愛管閑事的, 活躍的, 辛辣的, 令人興奮的, 時髦的\n[計] 計劃估評法"
pertain,pә'tein,"vi. 從屬於, 關於, 涉及, 附屬, 適合, 相稱\n[法] 屬於, 從屬, 附屬"
pertaining,pә:'teiniŋ,a. 附屬的；與…有關的
pertinence,'pә:tinәns,"n. 有關性, 相關性"
pertinent,'pә:tinәnt,"a. 相關的, 中肯的, 切題的\n[法] 恰當的, 有關的"
pertinently,'pɜ:tɪnəntlɪ,adv. 適切地
pertly,'pә:tli,"adv. 冒失地, 傲慢地, 活躍地, 易致地"
perturb,pә'tә:b,"vt. 擾亂, 使混亂, 使心緒不寧"
perturbation,",pә:tә:'beiʃәn","n. 不安, 擾亂, 紊亂, 煩擾\n[化] 攝動; 微擾"
perturbed,pə'tɜ:bd,"a. 煩燥不安的\nv. 使（某人）煩惱, 不安( perturb的過去式和過去分詞 )"
pertussis,pә(:)'tʌsis,n. 百日咳\n[醫] 百日咳
perusal,pә'ru:zl,"n. 熟讀, 精讀, 細讀"
peruse,pә'ru:z,"vt. 熟讀, 精讀, 閱讀, 仔細研究"
Peruvian,pә'ru:viәn,"a. 秘魯的, 秘魯人的, 秘魯文化的\nn. 秘魯人"
perv,pɜ:v,abbr. perversion 顛倒; 曲解; pervert 反常; perverted 不正當的
pervade,pә'veid,"vt. 瀰漫於, 遍及於, 流行於, 蔓延, 滲透於, 充滿"
pervading,pə'veɪdɪŋ,"v. 遍及, 瀰漫( pervade的現在分詞 )"
pervasive,pә'veisiv,"a. 普遍的, 流行的, 到處蔓延的, 到處滲透的"
pervasively,,"adv. 無處不在地, 遍布地"
pervasiveness,pə'veɪsɪvnəs,"n. 無處不在, 遍布"
perverse,pә'vә:s,"a. 乖張的, 故意作對的, 有悖常情的, 執迷不悟的, 歪曲的, 錯誤的, 不正當的\n[法] 邪惡的, 罪惡的:墮落的, 不合法的"
perversely,pə'vɜ:slɪ,adv. 倔強地
perversion,pә(:)'vә:ʃәn,"n. 走入邪路, 敗壞, 墮落, 違反常情, 變態, 反常, 誤用, 濫用, 歪曲, 顛倒\n[醫] 倒錯, 乖常, 顛倒"
perversity,pә'vә:sәti,"n. 乖僻, 倔強, 任性, 反常, 性變態"
pervert,pә:'vә:t,"vt. 使墮落, 使反常, 歪曲, 濫用, 使左右顛倒, 唆使...性變態\nn. 墮落者, 行為反常者, 背教者, 性慾反常者"
perverted,pә:'vә:tid,"a. 墮落的, 歪曲的, 行為反常的, 性變態的"
pesky,'peski,"a. 麻煩的, 惱人的, 棘手的, 討厭的"
pessimism,'pesimizm,"n. 悲觀, 悲觀情緒, 悲觀主義\n[醫] 悲觀主義"
pessimist,'pesimist,"n. 悲觀者, 厭世者, 悲觀主義者"
pessimistic,.pesi'mistik,"a. 悲觀的, 厭世的, 悲觀主義的"
pessimistically,ˌpesɪ'mɪstɪklɪ,adv. 悲觀地
pest,pest,"n. 令人討厭之物, 有害之物, 害蟲, 瘟疫\n[醫] 鼠疫, 瘟疫"
pester,'pestә,"vt. 不斷打擾, 糾纏"
pesticide,'pestisaid,n. 殺蟲劑\n[化] 農藥
pestilence,'pestilәns,"n. 瘟疫, 散布毒害的事物, 罪惡\n[醫] 疫病, 疫病流行"
pestilential,.pesti'lenʃәl,"a. 瘟疫的, 有害的, 傳播疾病的, 討厭的, 惱人的\n[醫] 疫病的"
pestle,'pesl,"n. 槌, 杵\nv. 用槌磨, 用杵搗"
pesto,'pestәj,"n. [食](澆在麵條或通心粉等上的)香蒜沙司,香蒜醬"
pet,pet,"n. 寵物, 受寵愛的人, 寵壞的孩子, 不悅, 生氣\na. 寵愛的, 表示親昵的, 養着觀賞的, 特別珍愛的, 格外的\nvt. 寵愛, 溺愛, 撫摸\nvi. 擁抱, 愛撫, 生氣, 發脾氣"
petal,'petәl,n. 花瓣\n[醫] 花瓣
petard,pe'tɑ:d,"n. 攻城炸藥, 爆竹"
peter,'pi:tә,"vi. 逐漸消失, 逐漸減少"
petiole,'petiәul,"n. 葉柄, 梗, 柄部\n[醫] 柄, 莖"
petite,pә'tit,"a. 小的, 次要的, 小個子的, 嬌小玲瓏的, 嬌小的"
petition,pi'tiʃәn,"n. 請願, 訴狀, 陳情書, 申請, 祈求, 禱文\nv. 正式請求, 懇求, 請願"
petitioner,pi'tiʃәnә,"n. 請願人, 訴願人, (離婚案)原告\n[法] 訴願人, 上訴人, 請願人"
petitioning,piˈtiʃənɪŋ,"v. 祈求, 請求, 請願( petition的現在分詞 ); （向法庭）請求, 申請"
petrel,'petrәl,n. 海燕
petri,pɛtrə,abbr. petroleum 石油
petrified,ˈpetrɪfaɪd,"a. 驚呆的; 目瞪口呆的\nv. 使嚇呆, 使驚呆; 變僵硬; 使石化(petrify的過去式和過去分詞)"
petrify,"'petri,fai","vt. (非正式)使驚呆, 使嚇得要死, 使發獃\nvt.vi. 使石化, 使成為化石, 使變僵, 變僵硬, 使消失活力, 使僵化"
Petrine,"'pi:train, -rin",聖彼得(Peter)的
petrochemical,.petrәu'kemikәl,"a. 石化的, 石化製品的, 岩石化學的\nn. 石化產品"
petroglyph,'petrәglif,"n. 岩石雕刻, 岩畫"
petrol,'petrәl,"n. 汽油\n[經] 汽油, 揮髮油, 石油"
petrolatum,.petrә'leitәm,"n. 石油凍, 礦脂\n[化] 礦脂; 凡士林"
petroleum,pә'trәuliәm,n. 石油\n[化] 石油
petrous,'petrәs,"a. 岩石的, 岩石般的, 堅硬的\n[醫] 岩石樣的, 石狀的"
petticoat,'petikәut,"n. 襯裙, 裙子"
pettiness,'petinis,"n. 瑣碎, 微小, 小氣, 委瑣, 偏狹, 卑鄙, 心胸狹窄的舉動"
petting,'petiŋ,n. [美口]愛撫
petty,'peti,"a. 瑣碎的, 小規模的, 小氣的, 委瑣的\n[經] 小額的, 微小的, 小規模的"
petulance,'petjjlәns; -tʃә-,"n. 易怒, 壞脾氣, 使性子"
petulant,'petʃәlәnt,"a. 任性的, 暴躁的, 易生氣的, 難以取悅的"
petulantly,'petjuləntli,adv. 任性地；脾氣壞地
petunia,"pi'tju:njә, -niә",n. [植]矮牽牛花
pew,pju:,"n. 教堂長椅, 會眾, 座位\nvt. 為(教堂)安裝座位, 把...圍在一起"
pewter,'pju:tә,n. 白蠟；青灰色
peyote,pei'әjti,"[醫] 拍約他, 仙人球膏(制自墨西哥仙人球的麻醉劑)"
phaeton,'feitn,n. 一種輕快的四輪馬車
phage,feidʒ,n. 噬菌體\n[化] 噬菌體
phalanx,'fælæŋks,"n. 方陣, 密集隊列, 密集的人群(或獸群), 指骨, 趾骨\n[醫] 指[趾]骨"
